id,nombre,largo,nombre_corto
propiedades_cero_uno,"El cero y el uno en la multiplicación y división",48,
adicion_fracciones_distinto_denominador,"Adición y sustracción con distinto denominador",46,
angulos_poligono,"Ángulos interiores y exteriores de polígonos",44,
estrategia_multiplos_10,"Estrategia: multiplicar por múltiplos de 10",43,
adicion_fracciones_igual_denominador,"Adición y sustracción con igual denominador",43,
lectura_interpretacion_graficos,"Interpretación de representaciones de datos",43,
construccion_triangulos,"Construcción y clasificación de triángulos",42,
comparacion_probabilidades,"Comparación cualitativa de probabilidades",41,
superficie_prisma_cilindro,"Área de superficie de prismas y cilindros",41,
estrategia_descomposicion_calculo,"Estrategia: cálculo por descomposición",38,
multiplicacion_division_decimales,"Multiplicación y división de decimales",38,
areas_derivadas,"Áreas por composición y transformación",38,
evaluacion_representaciones,"Evaluación crítica de representaciones",38,
perimetro_area_semejanza,"Perímetro y área en figuras semejantes",38,
equivalencia_fraccion_decimal,"Equivalencia entre fracción y decimal",37,
medicion_longitud,"Medición de longitud con instrumentos",37,
principio_multiplicativo,"Principio combinatorio multiplicativo",37,
composicion_aditiva,"Composición y descomposición aditiva",36,
relacion_perimetro_area,"Independencia entre perímetro y área",36,
multiplicacion_division_enteros,"Multiplicación y división de enteros",36,
proyeccion_vectorial,"Composición y proyección de vectores",36,
criterios_semejanza,"Criterios de semejanza de triángulos",36,
producto_vector_escalar,"Producto de un vector por un escalar",36,
cero_en_adicion_sustraccion,"El cero en la adición y sustracción",35,
estrategia_factorizar,"Estrategia: descomponer en factores",35,
figuras_3d,"Cuerpos geométricos y sus elementos",35,
plano_cartesiano,"Plano cartesiano (primer cuadrante)",35,
escala_grafica,"Escala en representaciones de datos",35,
estrategia_sumar_en_vez_de_restar,"Estrategia: sumar en vez de restar",34,
estrategia_doblar_mitad,"Estrategia: doblar y dividir por 2",34,
fraccion_parte_grupo,"La fracción como parte de un grupo",34,
fraccion_en_recta,"La fracción como punto en la recta",34,
adicion_decimales,"Adición y sustracción de decimales",34,
regla_formacion,"Regla de formación de una sucesión",34,
medicion_angulos,"Medición y construcción de ángulos",34,
formula_area_figuras,"Fórmulas de área de figuras planas",34,
fraccion_parte_todo,"La fracción como parte de un todo",33,
comparacion_fracciones_igual_denominador,"Comparación con igual denominador",33,
comparacion_directa_magnitudes,"Comparación directa de magnitudes",33,
superficie_volumen_esfera,"Superficie y volumen de la esfera",33,
comparacion_orden_decimales,"Comparación y orden de decimales",32,
estructura_arreglo_area,"Área del rectángulo como arreglo",32,
adicion_sustraccion_enteros,"Adición y sustracción de enteros",32,
probabilidad_evento_compuesto,"Probabilidad de evento compuesto",32,
division_interior_segmento,"División interior de un segmento",32,
comparacion_fracciones_igual_numerador,"Comparación con igual numerador",31,
ecuacion_formal,"Resolución formal de ecuaciones",31,
paralelas_perpendiculares,"Paralelismo y perpendicularidad",31,
suma_angulos_interiores,"Ángulos interiores de polígonos",31,
construcciones_geometricas,"Construcciones con instrumentos",31,
composicion_transformaciones,"Composición de transformaciones",31,
comparacion_orden_numeros,"Comparación y orden de números",30,
recta_numerica,"El número en la recta numérica",30,
hechos_aditivos_basicos,"Combinaciones aditivas básicas",30,
algoritmo_multiplicacion,"Algoritmo de la multiplicación",30,
amplificacion_simplificacion,"Amplificación y simplificación",30,
sistema_ecuaciones_lineales,"Sistema de ecuaciones lineales",30,
razon_pi,"La razón constante del círculo",30,
volumen_prisma_cilindro,"Volumen de prismas y cilindros",30,
probabilidad_sociedad,"La probabilidad en la sociedad",30,
conteo_desde_cualquier_numero,"Conteo desde cualquier número",29,
reversibilidad_multiplicativa,"Reversibilidad multiplicativa",29,
igualdad_relacional,"La igualdad como equivalencia",29,
superficie_cuerpos,"Área de superficie de cuerpos",29,
comparacion_distribuciones,"Comparación de distribuciones",29,
termino_semejante,"Término semejante y reducción",29,
puntos_notables_triangulo,"Puntos notables del triángulo",29,
superficie_volumen_cono,"Superficie y volumen del cono",29,
estrategia_dobles,"Estrategia: dobles y mitades",28,
conmutatividad_adicion,"Conmutatividad de la adición",28,
jerarquia_operaciones,"Jerarquía de las operaciones",28,
relacion_funcional,"Relación funcional en tablas",28,
posicion_relativa,"Posición y lenguaje espacial",28,
transformaciones_isometricas,"Transformaciones isométricas",28,
secuencia_temporal,"Estructura del tiempo social",28,
volumen_unidades_cubicas,"Volumen como conteo de cubos",28,
extremos_punto_medio,"Mínimo, máximo y punto medio",28,
multiplicacion_fracciones,"Multiplicación de fracciones",28,
propiedades_potencias,"Propiedades de las potencias",28,
potencia_exponente_entero,"Potencia de exponente entero",28,
medidas_tendencia_central,"Medidas de tendencia central",28,
distribucion_probabilidad,"Distribución de probabilidad",28,
permutacion_combinatoria,"Permutaciones y combinatoria",28,
asociatividad_adicion,"Asociatividad de la adición",27,
algoritmo_sustraccion,"Algoritmo de la sustracción",27,
ecuacion_un_paso,"Ecuación aditiva de un paso",27,
cambio_porcentual_constante,"Cambio porcentual constante",27,
secuencia_verbal,"Secuencia verbal de conteo",26,
comparacion_colecciones,"Comparación de colecciones",26,
descomposicion_posicional,"Forma estándar y expandida",26,
fraccion_propia_impropia,"Fracción propia e impropia",26,
figuras_2d,"Figuras 2D y sus atributos",26,
cuadricula_mapa,"Localización en cuadrícula",26,
volumen_paralelepipedo,"Volumen del paralelepípedo",26,
registro_conteo,"Registro y tabla de conteo",26,
circulo,"El círculo y sus elementos",26,
