codigo,variantes_encontradas
MA04 OA 08,"Demostrar que comprende las fracciones con denominadores 100, 12, 10, 8, 6, 5, 4, 3, 2: explicando que una fracción representa la parte de un todo o de un grupo de elementos y un lugar en la recta numérica. | Comparando y ordenando fracciones (por ejemplo: 1/100, 1/8, 1/5, 1/4, 1/2) con material concreto y pictórico."
MA07 OA 05,"Utilizar potencias de base 10 con exponente natural: usando los términos potencia, base, exponente, elevado. | Expresando números naturales en notación científica; resolviendo problemas, usando la notación científica."
MA07 OA 11,"Mostrar que comprenden el círculo: describiendo las relaciones entre el radio, el diámetro y el perímetro del círculo; identificándolo como lugar geométrico. | Estimando de manera intuitiva el perímetro y el área de un círculo; aplicando las aproximaciones en la resolución de problemas."
MA07 OA 12,"Construir objetos geométricos de manera manual y/o con software educativo: líneas como perpendiculares, paralelas, bisectrices y alturas. | Puntos, como el punto medio, el centro de gravedad, el centro del círculo inscrito y del circunscrito de un triángulo."
MA07 OA 17,"Mostrar que comprenden las medidas de tendencia central y el rango: determinando la medida adecuada para responder un problema planteado; utilizándolos para comparar dos poblaciones. | Determinando el efecto de un dato que es muy diferente a los otros."
MA08 OA 11,"Transfiriendo la fórmula del volumen de un cubo (base por altura) en prismas diversos y cilindros. | Desplegando la red de prismas rectos para encontrar la fórmula del área de superficie."
MA08 OA 17,"Explicar el principio combinatorio multiplicativo: a partir de situaciones concretas; representándolo con tablas y árboles regulares. | Utilizándolo para calcular la probabilidad de un evento compuesto."
MA2M OA 01,"Realizar cálculos y estimaciones que involucren operaciones con números reales. | Utilizando la descomposición de raíces y las propiedades de las raíces; combinando raíces con números racionales."
MA2M OA 02,"Comparando representaciones de potencias de exponente racional con raíces enésimas en la recta numérica; convirtiendo raíces enésimas a potencias de exponente racional y viceversa. | Describiendo la relación entre potencias y logaritmos."
MA2M OA 10,"Mostrar que comprenden las variables aleatorias finitas: definiendo la variable; determinando los posibles valores de la incógnita. | Calculando su probabilidad; graficando sus distribuciones."
